,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
171,Mashpee,Town,Barnstable,Open town meeting,15060,27.2 sq mi ,70.45 km2),,1870
172,Mattapoisett,Town,Plymouth,Open town meeting,6508,24.2 sq mi ,62.68 km2),,1857
173,Maynard,Town,Middlesex,Open town meeting,10746,5.4 sq mi ,13.99 km2),,1871
174,Medfield,Town,Norfolk,Open town meeting,12799,14.6 sq mi ,37.81 km2),,1651
175,Medford,City,Middlesex,Mayor-Council,59659,8.7 sq mi ,22.53 km2),,1630
176,Medway,Town,Norfolk,Open town meeting,13115,11.5 sq mi ,29.78 km2),,1713
177,Melrose,City,Middlesex,Mayor-Council,29817,4.8 sq mi ,12.43 km2),,1850
178,Mendon,Town,Worcester,Open town meeting,6228,18.3 sq mi ,47.40 km2),,1667
179,Merrimac,Town,Essex,Open town meeting,6723,8.8 sq mi ,22.79 km2),,1876
180,Methuen,City[a],Essex,Mayor-Council,53039,23.0 sq mi ,59.57 km2),,1725
181,Middleborough,Town,Plymouth,Open town meeting,24245,72.2 sq mi ,187.00 km2),,1669
182,Middlefield,Town,Hampshire,Open town meeting,385,24.2 sq mi ,62.68 km2),,1783
183,Middleton,Town,Essex,Open town meeting,9779,14.5 sq mi ,37.55 km2),,1728
184,Milford,Town,Worcester,Representative town meeting,30379,14.9 sq mi ,38.59 km2),,1780
185,Millbury,Town,Worcester,Open town meeting,13831,16.3 sq mi ,42.22 km2),,1813
186,Millis,Town,Norfolk,Open town meeting,8460,12.3 sq mi ,31.86 km2),,1885
187,Millville,Town,Worcester,Open town meeting,3174,5.0 sq mi ,12.95 km2),,1916
188,Milton,Town,Norfolk,Representative town meeting,28630,13.3 sq mi ,34.45 km2),,1662
189,Monroe,Town,Franklin,Open town meeting,118,10.8 sq mi ,27.97 km2),,1822
190,Monson,Town,Hampden,Open town meeting,8150,44.8 sq mi ,116.03 km2),,1775
191,Montague,Town,Franklin,Representative town meeting,8580,31.5 sq mi ,81.58 km2),,1775
